"","SRA_ID","Sample_ID","Species_name","Species_code","Read_depth_(mean|median)"
"399","SRR9665645","ISC1","Julidochromis ornatus","Julorn","8.51|9"
"412","SRR9657507","ILD3","Lamprologus ocellatus","Lamoce","8.02|8"
"414","SRR9665708","IWD6","Lamprologus signatus","Lamsig","9.37|10"
"418","SRR9657489","AVG5","Lepidiolamprologus attenuatus","Lepatt","8.1|8"
"420","SRR9657497","AUG8","Lepidiolamprologus elongatus","Lepelo","7.6|8"
"429","SRR9657501","ILB7","Neolamprologus brevis","Neobre","6.76|7"
"430","SRR9673956","JUI1","Neolamprologus brichardi","Neobri","6.18|6"
"431","SRR9673978","JEI5","Neolamprologus buescheri","Neobue","7.36|7"
"434","SRR9665662","IQA4","Neolamprologus caudopunctatus","Neocau","7.62|8"
"437","SRR9665687","IVF1","Neolamprologus crassus","Neocra","8.78|9"
"438","SRR9657525","GPH2","Neolamprologus cylindricus","Neocyl","9.64|10"
"439","SRR9675318","JXD7","Neolamprologus falcicula","Neofal","11.14|12"
"442","SRR9675334","JWH2","Neolamprologus gracilis","Neogra","13|14"
"444","SRR9675319","JWG9","Neolamprologus helianthus","Neohel","10.62|11"
"447","SRR9675329","JWI3","Neolamprologus longicaudatus","Neolon","10.71|11"
"449","SRR9675332","JWH4","Neolamprologus marunguensis","Neomar","11.28|12"
"453","SRR9665638","IRF8","Neolamprologus multifasciatus","Neomul","6.26|6"
"455","SRR9673852","KYA5","Neolamprologus niger","Neonig","6.76|7"
"458","SRR9675338","JWH6","Neolamprologus olivaceous","Neooli","11.65|12"
"463","SRR9665647","ISB3","Neolamprologus pulcher","Neopul","7.79|8"
"464","SRR9673987","IYA4","Neolamprologus savoryi","Neosav","6.64|6"
"469","SRR9673934","LFD4","Neolamprologus sp. 'cygnus' AB-2019","Neocyg","8.07|8"
"471","SRR9673890","LCC2","Neolamprologus sp. 'falcicula mahale' AB-2019","NeofaM","6.11|6"
"474","SRR9657500","ILE6","Neolamprologus sp. 'kombe' AB-2019","Neokom","8.15|8"
"475","SRR9673982","JED5","Neolamprologus sp. 'ventralis stripe' AB-2019","NeoveS","14.11|16"
"479","SRR9675374","JZD6","Neolamprologus toae","Neotoa","9.24|10"
"480","SRR9673848","KFH5","Neolamprologus tretocephalus","Neotre","7.72|8"
"483","SRR9673845","KFD4","Neolamprologus walteri","Neowal","7.3|7"
"492","SRR9657480","IMB4","Telmatochromis temporalis","TelteS","8.43|9"
"493","SRR9673972","JBD6","Telmatochromis vittatus","Telvit","7.59|8"
"494","SRR9657518","AUC4","Variabilichromis moorii","Varmoo","7.56|8"
"504","SRR9673984","JEG6","Triglachromis otostigma","Trioto","6.89|7"
"523","SRR9657567","AXA7","Shuja horei","Ctehor","8.26|8"
"524","SRR9657563","AWE2","Gnathochromis pfefferi","Gnapfe","7.24|7"
"526","SRR9657566","AWI6","Limnotilapia dardennii","Limdar","7.99|8"
"527","SRR9665640","ISE5","Lobochilotes labiata","Loblab","6.55|6"
"534","SRR9657564","AWI4","Petrochromis polyodon","Petpol","7.83|8"
"553","SRR9674025","JBH5","Tropheus moorii","Tromoo","7.86|8"
"555","SRR9673964","JVC9","Tropheus sp. 'black'","Tronig","8.52|9"
