"","six_letter_name_Ronco","pc1","pc2","pc3","pc4","pc5","pc6","pc7","pc8","pc9","pc10","total_rest"
"1","Altcal",0.144644643755668,0.12785735956504,0.100314762173681,0.0375724526211549,-0.100698731968698,0.0659693688975263,-0.062057032060481,0.224821603309154,0.0437765740668345,0.0952696767435726,14.1525
"2","Altcom",0.0812171761980778,0.187511838662501,-0.0393160454035061,-0.176142090882096,0.0356576012614154,-0.0076494022759256,0.197330065060754,0.176146335297714,-0.0863943771260617,0.015873650687139,11.5366666666667
"3","Altshe",-0.106220010221074,0.111542348554281,-0.0685348840752091,0.168885149739546,-0.164287283241096,0.343061219555201,-0.0202055178888584,0.0620569101648606,-0.21007681651483,-0.168461207644293,17.5828571428571
"4","Auldew",0.152058692844198,0.0658569992459608,-0.0349414979028184,0.206030697302247,0.154300838306737,-0.117209726888426,-0.060340740337123,0.00549173671591596,0.0135612884687802,-0.0950380692729331,2.90416666666667
"5","Boumic",-0.178151758419331,0.081229255216773,0.0136369891997189,-0.0814044365302694,0.0597631957917461,-0.0186296911372232,-0.00208379084985844,-0.00157092942878045,0.0523442143195973,0.0654549802504784,4.72
"6","Calple",-0.14613625779926,0.0905311913165092,0.063599998305852,0.226423193430848,-0.0569151556125725,0.00879745997432566,-0.0238522171160689,-0.235567374302981,-0.0434549815666931,-0.182408300079939,7.16333333333333
"7","Chacya",0.134963641982298,0.0745893263351352,-0.16489551667102,0.2480790319942,-0.0173125199032266,0.163324661488765,-0.0979549395503236,-0.0352105103921105,0.0395939297761041,0.130124390375805,3.39
"8","Juldic",-0.0250176467607306,0.170118683509567,-0.149795483034351,0.318675651948805,0.000885662718890831,-0.119701332389797,-7.58109067321433e-05,-0.0513424793633014,0.137213287023098,-0.108675561298896,9.76090909090909
"9","Ctehor",-0.145337110469912,0.00485136412115847,0.109063128665393,0.17778100688622,0.297175212443058,0.0237013633410076,0.157802107877079,-0.125682721752255,-0.139390661204206,0.0424205814418952,3.39125
"10","Cphfro",0.160602807024372,0.0284503170828893,0.0311941631093689,-0.156634117838398,0.184022566941544,0.0950313277523501,0.0164811909395373,0.223530081426213,0.0859536171453386,0.127813671057359,3.37636363636364
"11","Cypcol",-0.145126626325059,0.0807943886925525,-0.0333093435764572,-0.190197387904128,0.0818245647263946,0.0780980409023164,-0.213990712250852,-0.0644361746985022,0.349460902035324,-0.0825855817539553,11.2163636363636
"12","Cyplep",-0.116234798843924,0.143231819787697,-0.00487262397124653,-0.120493674477013,-0.127985073643187,0.0364179219035816,0.300181146583258,-0.0625537905760699,0.22375152909319,0.16344880754595,10.8608333333333
"13","Enamel",0.0264901329710217,0.100468025969697,0.35680790813264,0.162846199156177,0.201904166267482,0.00317533022874296,0.0268394750676124,-0.150097673343248,0.0472887922678257,0.208419187637499,11.0272727272727
"14","Erecya",-0.160705393242949,0.073879573347434,0.00927611097345058,0.0472250796307941,-0.189248941975274,-0.125064830766662,0.0884918158986381,0.16330207533873,0.219525868045825,0.0823176641967635,11.94
"15","Gnapfe",0.111755372612404,0.0926635910078086,0.327711561724744,-0.0320134747293761,-0.00493446912977436,0.0409110199993802,-0.104482041085564,-0.0710843780700232,0.0845124089430084,0.0186696188942502,11.6414285714286
"16","Julmrk",-0.0712438702296445,0.175796643440433,-0.114721887187937,0.220054432177244,0.119687425858429,-0.0161913911904038,-0.0930788334227482,0.120533040574411,0.290602174534818,0.15243010818518,12.5866666666667
"17","Julorn",-0.15232943545941,0.0921344777664087,-0.074325493182486,0.121274332467842,-0.0398843497009628,-0.193946398546999,0.215831382802658,-0.0127962447505058,0.127009333570187,0.056970007167784,13.1436363636364
"18","Lamoce",0.137232933105995,0.126809321923721,0.191340969638009,-0.0849805815191866,-0.0824856574745222,0.0112679158565836,0.0282945630228684,-0.0896914577730358,-0.0535152451449433,-0.0547514009695137,12.7411111111111
"19","Lamsig",-0.183817901875649,0.025461235248876,0.0184050798157218,-0.115310147834189,-0.0236269016605439,-0.0199853386292492,-0.157537837552931,-0.0263731883560846,0.0346377396617231,-0.0117584251720868,15.1246153846154
"20","Lepatt",0.0772090549858426,0.194490736225803,0.0664876351002671,-0.0945606937308261,0.160016568734659,0.169623934662909,0.117589382980438,-0.104392447437755,-0.0590096072822165,-0.0236673453008595,10.391
"21","Lepelo",-0.0472183401549017,0.215411063225444,-0.0280456719843646,-0.12443292189508,-0.0174757634388983,0.147248003376628,0.133762630414452,-0.0761222092756331,-0.00145956338415023,0.307440789489288,12.6891666666667
"22","Limdar",-0.117935252040925,0.121040034568606,0.187283354468437,0.0973782130007472,0.201563675300653,-0.138755699094159,0.0184144884316008,0.147759266142371,-0.171521727438418,-0.216791336823777,2.05
"23","Loblab",-0.105838359695886,0.18965412560289,5.98244278443747e-05,-0.0282745242590933,-0.0775248857464687,0.0829157228656529,-0.0774077973215096,0.0549277094605389,-0.209392577923412,0.184170805235556,3.97
"24","Neobre",0.151544734926863,0.10508102324715,-0.0284801054810768,0.121739595808657,-0.122435657659348,0.109841133766522,-0.119814748255803,-0.156722788038743,0.205268789185797,0.132634570343304,NA
"25","Neobri",-0.103684347811244,0.19731761362087,0.0298534734619581,-0.016409053448623,0.0189201207762823,0.070162939655588,0.038605514394174,-0.161565208847969,-0.116853389457487,0.0149249574845778,5.45833333333333
"26","Neobue",-0.182821817274621,0.0482794537049509,0.0362179441665128,-0.00932924449504799,0.141039711911402,0.012165147499651,-0.0581870450359989,-0.0208179640414404,0.0231498597380133,-0.0210610103058252,6.64
