tribe,six_letter_name_Ronco,mean_total_day,mean_total_night,mean_freq_day,mean_freq_night,mean_bout_length_day,mean_bout_length_night,mean_sfi_day,mean_sfi_night,mean_L50_day,mean_L50_night,mean_N50_day,mean_N50_night,mean_cons_day,mean_cons_night,pref_freq,pref_bout_length,pref_sfi,pref_L50,pref_N50,pref_cons,dn_pref,overall_total
Ectodini,Ophboo,0.6298958333333337,0.5202740740740734,32.22999999999996,32.33333333333334,64.50585104807236,42.35207143517556,0.023250055200270032,0.03244146761744162,136.93000000000004,86.85333333333334,5.673333333333334,6.346666666666666,7.1630883369017315,5.654909995345736,32.22999999999996,64.50585104807236,0.023250055200270032,136.93000000000004,5.673333333333334,7.1630883369017315,0.09530918741071756,1.150169907407407
Ectodini,Xenbat,6.67642013888889,5.029850694444445,84.625,69.225,342.1498593561744,254.6761331795572,0.004274168378283783,0.011093183719986598,801.66875,690.75,11.99375,9.04375,1.367754477362268,1.7033560121264137,84.625,342.1498593561744,0.004274168378283783,801.66875,11.99375,1.367754477362268,0.14065704338190066,11.706270833333335
Ectodini,Xenspi,3.5189660493827137,2.789436728395062,98.38888888888894,87.91666666666673,149.90020710437574,88.4269407617965,0.013724963043955818,0.02742157441761911,368.44444444444446,164.88888888888883,16.02777777777778,14.972222222222216,1.362436686936085,1.501462557312301,98.38888888888894,149.90020710437574,0.013724963043955818,368.44444444444446,16.02777777777778,1.362436686936085,0.11564406184676733,6.308402777777776
Eretmodini,Erecya,3.1268395061728396,7.241112654320987,88.8555555555555,98.92222222222227,121.88577896886665,456.80798142499435,0.009932457427594684,0.004493331901080747,249.66111111111135,1165.7777777777785,14.4,12.627777777777771,1.2041384341515529,1.5922724150054122,98.92222222222227,456.80798142499435,0.004493331901080747,1165.7777777777785,12.627777777777771,1.5922724150054122,0.3968260158283932,10.367952160493827
Haplochromini,Astbur,0.1405180976430977,4.2110462962962965,10.893939393939394,122.37272727272727,40.350352011008816,134.88546781268712,0.03719372986152125,0.010162457579342062,57.66969696969697,286.8015151515151,2.9469696969696972,21.15303030303031,19.24890817577066,0.8810995780449912,122.37272727272727,134.88546781268712,0.010162457579342062,286.8015151515151,21.15303030303031,0.8810995780449912,0.9354172040570959,4.351564393939394
Lamprologini,Altcal,6.873155864197531,5.438874228395063,79.09861111111111,88.66944444444444,2410.148957545992,355.4740949408974,0.005243225530988226,0.011648809473264663,5269.1124999999975,969.086111111111,9.601388888888886,15.441666666666665,7.24149936530931,1.5495398534952995,79.09861111111111,2410.148957545992,0.005243225530988226,5269.1124999999975,9.601388888888886,7.24149936530931,0.11649432506385675,12.312030092592593
Lamprologini,Altcom,4.009112654320987,5.973395061728393,114.83333333333333,34.25,199.2126343162052,558.4180038467856,0.010421612921102013,0.011538662467627964,900,1329.9166666666667,16.8611111111111,5.583333333333333,1.1846812218726361,3.5615762986085433,34.25,558.4180038467856,0.011538662467627964,1329.9166666666667,5.583333333333333,3.5615762986085433,0.1967724406813461,9.98250771604938
Lamprologini,Altshe,7.61175264550264,7.874510582010583,52.59523809523809,71.92857142857152,4983.824298835082,703.9918054618969,0.003958577657366988,0.003185159094085473,9157.238095238086,2070.1190476190477,6.571428571428571,9.547619047619053,12.01100356033086,2.30965094254947,71.92857142857152,703.9918054618969,0.003185159094085473,2070.1190476190477,9.547619047619053,2.30965094254947,0.016967161971076505,15.486263227513223
Lamprologini,Chacya,2.345884259259257,0.7140277777777785,104.3666666666665,62.3333333333335,71.62872629338435,37.00134438554805,0.0170460792015611,0.02882299483597145,128.0333333333335,72.91666666666666,17.73333333333335,12.41666666666665,1.089827146613118,3.6877207480953125,104.3666666666665,71.62872629338435,0.0170460792015611,128.0333333333335,17.73333333333335,1.089827146613118,0.5333017621845211,3.0599120370370354
Lamprologini,Juldic,3.2406018518518502,5.62818223905724,89.43939393939401,73.77878787878792,142.57712574630247,421.00070557691504,0.012378042764865475,0.008133878193447226,329.95454545454544,1301.65606060606,12.250000000000004,10.192424242424243,1.1616268275239423,1.75527092321162,73.77878787878792,421.00070557691504,0.008133878193447226,1301.65606060606,10.192424242424243,1.75527092321162,0.2692116938163788,8.86878409090909
Lamprologini,Julmrk,4.533987268518517,4.717916666666665,97.22916666666674,114.31250000000026,230.64342727640005,167.52080670606074,0.01157917894760905,0.010603264938487315,732.687500000001,357.79166666666674,14.854166666666675,16.833333333333325,1.2946979014689992,0.9778382719816547,114.31250000000026,167.52080670606074,0.010603264938487315,357.79166666666674,16.833333333333325,0.9778382719816547,0.019880167307905136,9.251903935185183
Lamprologini,Julorn,4.1172676767676775,7.289365319865318,93.44848484848484,70.95757575757581,196.83600423840767,892.5380540876646,0.009496019216313203,0.0036116989888516668,679.1454545454552,2520.3151515151485,12.22727272727273,9.448484848484854,1.2599254297411984,2.8539737217939045,70.95757575757581,892.5380540876646,0.0036116989888516668,2520.3151515151485,9.448484848484854,2.8539737217939045,0.2780923734492009,11.406632996632997
Lamprologini,Julreg,5.309564814814814,6.956898148148148,115.6333333333334,121.99999999999994,172.6045785665146,252.39404923731558,0.008555036157469846,0.005741284002479246,342.9666666666666,559.9,17.46666666666668,17.36666666666666,0.9065804966586958,0.9849813765635692,121.99999999999994,252.39404923731558,0.005741284002479246,559.9,17.36666666666666,0.9849813765635692,0.1342957084130323,12.266462962962962
Lamprologini,Lamoce,6.411177983539094,4.878348765432099,96.22222222222227,82.3518518518518,503.0593881858898,434.43945365075325,0.006175862932216912,0.011825149735545402,2139.2407407407413,3467.5185185185182,11.925925925925922,11.3888888888889,1.9873935557442055,2.0816391068060245,96.22222222222227,503.0593881858898,0.006175862932216912,2139.2407407407413,11.925925925925922,1.9873935557442055,0.13577444406575154,11.289526748971193
Lamprologini,Lamsig,2.9053725071225065,11.54565242165243,106.71282051282049,14.20897435897436,211.32850254971927,15380.150026536245,0.01800040241919339,4.172477976362323e-4,1756.629487179487,25370.380769230775,16.626923076923084,1.9615384615384623,1.4409381699658887,35.68153852367911,14.20897435897436,15380.150026536245,4.172477976362323e-4,25370.380769230775,1.9615384615384623,35.68153852367911,0.5979008379762298,14.451024928774938
