"","tribe","six_letter_name_Ronco","mean_total_day","mean_total_night","mean_absolute_total_day","mean_absolute_total_night","mean_freq_day","mean_freq_night","mean_bout_length_day","mean_bout_length_night","mean_longest_bout_day","mean_longest_bout_night","mean_abs_longest_day","mean_abs_longest_night","mean_sfi_day","mean_sfi_night","mean_cons_day","mean_cons_night","mean_max_cons_day","mean_max_cons_night","mean_abs_cons_day","mean_abs_cons_night","mean_y_day","mean_y_night","pref_freq","pref_bout_length","pref_longest_bout","pref_abs_longest","pref_sfi","pref_cons","pref_max_cons","pref_abs_cons","pref_y","dn_pref","overall_total"
"1","Boulengerochromini","Boumic",0.226594135802469,3.94216931216931,4687.33333333333,81706.4285714286,23.8777777777778,168.202380952381,24.1902895742856,89.8386224690276,96.4388888888889,555.17619047619,180,968.285714285714,0.0569139545486428,0.0150765371716893,24.030343826371,0.616099859282262,37.1309434112098,3.56238023567014,69.7838682432875,5.96495766652427,278.710174014555,604.246106981167,168.202380952381,89.8386224690276,555.17619047619,968.285714285714,0.0150765371716893,0.616099859282262,3.56238023567014,5.96495766652427,604.246106981167,0.891289520918865,4.16876344797178
"2","Cyphotilapiini","Cphfro",0.938399831649832,2.21556902356902,14581.0909090909,33254.9090909091,47.4136363636364,54.2742424242424,51.3597680120737,129.401009140539,312.828787878788,724.778787878788,591.545454545455,1308.09090909091,0.0286273976906013,0.0119746547211896,6.76446366482271,4.96190088335664,18.1422515378496,13.2905612687721,31.1185140171928,20.2449441832274,402.360092263813,657.359518975114,54.2742424242424,129.401009140539,724.778787878788,1308.09090909091,0.0119746547211896,4.96190088335664,13.2905612687721,20.2449441832274,657.359518975114,0.40494033091223,3.15396885521886
"3","Cyprichromini","Cypcol",2.52019612794613,6.66582491582492,54384.5454545455,143981.818181818,113.209090909091,102.378787878788,77.8128292059101,492.662078653912,507.239393939394,2764.10606060606,1039.72727272727,5576.36363636364,0.0216613644275609,0.00730083608993144,1.97890571467706,1.70059430492898,9.55261804637414,9.77442201157078,17.185195583402,19.7171836582887,89.9101004577816,278.962091091471,102.378787878788,492.662078653912,2764.10606060606,5576.36363636364,0.00730083608993144,1.70059430492898,9.77442201157078,19.7171836582887,278.962091091471,0.451297549627311,9.18602104377104
"4","Cyprichromini","Cyplep",4.03146604938272,5.3463850308642,87079.6666666667,115481.916666667,116.208333333333,140.722222222222,163.905361221148,230.587848396993,1241.86111111111,2007.44444444444,2896.91666666667,3961.16666666667,0.0162582246159939,0.0133947167229201,1.08446328596659,1.01094167421361,8.29531166493841,8.46610930312847,21.2273633886435,16.459000292049,394.672215797672,535.098630705956,140.722222222222,230.587848396993,2007.44444444444,3961.16666666667,0.0133947167229201,1.01094167421361,8.46610930312847,16.459000292049,535.098630705956,0.140215383058403,9.37785108024691
"5","Cyprichromini","Pcynig",4.45873274410774,5.0074494949495,94018.7272727273,103689.272727273,111.154545454545,95.2196969696969,173.660402916435,283.910472872415,1649.76818181818,2121.45303030303,3174,4359.18181818182,0.0109058513515229,0.00797989191169972,1.01703892005784,1.39183390681958,9.45389685422474,10.947954288774,19.2705287013906,23.6879608107564,264.836913845347,411.212091696218,95.2196969696969,283.910472872415,2121.45303030303,4359.18181818182,0.00797989191169972,1.39183390681958,10.947954288774,23.6879608107564,411.212091696218,0.0579660032930445,9.46618223905724
"6","Ectodini","Auldew",0.933465277777778,1.99180892255892,18102.5833333333,32098.7272727273,47.3444444444444,61.2590909090909,62.5579459871846,118.659700700486,527.866666666667,1112.26515151515,1194.75,2257.54545454545,0.0236406407688235,0.0149511955195189,2.9463846451029,2.91666382292689,17.5179724472972,20.1236444774525,37.8773896077437,43.7878245381976,389.044588261277,651.643657090848,61.2590909090909,118.659700700486,1112.26515151515,2257.54545454545,0.0149511955195189,2.91666382292689,20.1236444774525,43.7878245381976,651.643657090848,0.361792971291146,2.9252742003367
"7","Ectodini","Calple",1.88943287037037,4.43816049382716,40528.4166666667,94816.5833333333,65.2972222222222,92.9277777777778,82.8111515958393,199.395563183943,595.577777777778,1766.61944444444,1249.75,3478,0.0177891147031993,0.00856332491563458,4.31371435819177,1.20230618607743,13.5966111827301,11.0158617662776,26.5892048033611,22.4178140848258,660.19210581548,682.361816363416,92.9277777777778,199.395563183943,1766.61944444444,3478,0.00856332491563458,1.20230618607743,11.0158617662776,22.4178140848258,682.361816363416,0.402795735560043,6.32759336419753
"8","Ectodini","Enamel",4.31006313131313,5.61629208754209,88653.3636363636,115591.363636364,106.833333333333,91.3333333333334,160.662237026666,329.927322537972,1353.16666666667,2986.56060606061,2206.63636363636,5787.81818181818,0.00853035621025495,0.00678721594189765,1.01573067357571,1.44658973239218,8.33472309821028,13.8853768565216,13.2955885092599,26.9211219651089,696.396941364738,692.900660249173,91.3333333333334,329.927322537972,2986.56060606061,5787.81818181818,0.00678721594189765,1.44658973239218,13.8853768565216,26.9211219651089,692.900660249173,0.131592002041974,9.92635521885522
"9","Ectodini","Ophboo",0.629895833333334,0.520274074074074,11327,6069,32.23,32.3333333333333,64.5058510480724,42.3520714351756,367.963333333333,210.886666666667,959.2,526,0.02325005520027,0.0324414676174416,7.16308833690173,5.65490999534574,27.4408150580879,20.3281681013434,60.0076382802869,40.7685326683845,504.342313640769,585.219299909854,32.23,64.5058510480724,367.963333333333,959.2,0.02325005520027,7.16308833690173,27.4408150580879,60.0076382802869,504.342313640769,0.0953091874107174,1.15016990740741
"10","Ectodini","Xenbat",6.67642013888889,5.02985069444444,113589.375,82503,84.625,69.225,342.149859356174,254.676133179557,2681.30625,2620.38125,5089,5110,0.00427416837828378,0.0110931837199866,1.36775447736227,1.70335601212641,10.7976895920152,14.4950397631093,20.4096281991618,33.9080449689774,683.259042692021,711.717561119281,84.625,342.149859356174,2681.30625,5089,0.00427416837828378,1.36775447736227,10.7976895920152,20.4096281991618,683.259042692021,0.140657043381901,11.7062708333333
"11","Ectodini","Xenspi",3.98124074074074,1.86482407407407,84349,38319.6,110.966666666667,81.3000000000001,153.702705584321,58.6018511840728,1182.8,402,2420.8,772.2,0.0140567022661386,0.0319681185885675,1.03277229281901,1.62371318108474,7.56353153630786,8.0269660476846,15.0022697920688,17.0896052596641,670.048876655783,692.851331137264,110.966666666667,153.702705584321,1182.8,2420.8,0.0140567022661386,1.03277229281901,7.56353153630786,15.0022697920688,670.048876655783,0.362024153632944,5.84606481481481
"12","Eretmodini","Erecya",3.12683950617284,7.24111265432099,66964.8333333333,150924.166666667,88.8555555555555,98.9222222222223,121.885778968867,456.807981424994,898.172222222222,3544.65,1472.33333333333,6303,0.00993245742759468,0.00449333190108075,1.20413843415155,1.59227241500541,8.65626595299104,12.8578611841384,14.1663779546426,23.1918310352238,708.675423890645,677.643999225779,98.9222222222223,456.807981424994,3544.65,6303,0.00449333190108075,1.59227241500541,12.8578611841384,23.1918310352238,677.643999225779,0.396826015828393,10.3679521604938
"13","Haplochromini","Astbur",0.140518097643098,4.2110462962963,2449.18181818182,85577.3636363636,10.8939393939394,122.372727272727,40.3503520110088,134.885467812687,95.0424242424243,1177.91212121212,191,2736.72727272727,0.0371937298615213,0.0101624575793421,19.2489081757707,0.881099578044991,32.4826649548541,7.24234295602015,60.7572432731097,16.2920495879416,221.655753781289,399.040499580198,122.372727272727,134.885467812687,1177.91212121212,2736.72727272727,0.0101624575793421,0.881099578044991,7.24234295602015,16.2920495879416,399.040499580198,0.935417204057096,4.35156439393939
"14","Lamprologini","Altcal",6.87315586419753,5.43887422839506,141752.833333333,116124.75,79.0986111111111,88.6694444444444,2410.14895754599,355.474094940897,7661.09861111111,2132.79166666667,15001.3333333333,4970.25,0.00524322553098823,0.0116488094732647,7.24149936530931,1.5495398534953,26.5616914748209,9.94132353494668,56.5559174074209,24.9827695298157,487.167365281611,662.603807439846,79.0986111111111,2410.14895754599,7661.09861111111,15001.3333333333,0.00524322553098823,7.24149936530931,26.5616914748209,56.5559174074209,487.167365281611,0.116494325063857,12.3120300925926
"15","Lamprologini","Altcom",4.00911265432099,5.97339506172839,71847,128632,114.833333333333,34.25,199.212634316205,558.418003846786,2258,3340.83333333333,5731.66666666667,7592.66666666667,0.010421612921102,0.011538662467628,1.18468122187264,3.56157629860854,13.4652687020953,17.3591280762697,31.6583535618083,37.9108710178934,288.447172865767,522.06460019801,34.25,558.418003846786,3340.83333333333,7592.66666666667,0.011538662467628,3.56157629860854,17.3591280762697,37.9108710178934,522.06460019801,0.196772440681346,9.98250771604938
"16","Lamprologini","Altshe",7.61175264550264,7.87451058201058,164413.857142857,170089.428571429,52.5952380952381,71.9285714285715,4983.82429883508,703.991805461897,11387.1666666667,5039.2380952381,18916.8571428571,8523.14285714286,0.00395857765736699,0.00318515909408547,12.0110035603309,2.30965094254947,32.3041026295021,16.7210153764021,56.5025405436313,28.1434612821866,566.120287675734,670.730315715706,71.9285714285715,703.991805461897,5039.2380952381,8523.14285714286,0.00318515909408547,2.30965094254947,16.7210153764021,28.1434612821866,670.730315715706,0.0169671619710765,15.4862632275132
