"","six_letter_name_Ronco","total_rest","peak_amplitude","peak","day_night_dif","cluster","peak_dawn","peak_dusk"
"48","Neowal",7.495,10.5039583333333,0.729166666666667,-0.0296089754031583,1,0.714285714285714,0.571428571428571
"49","Ophboo",0.819,24.8204166666667,0.791666666666667,-0.0460173033973638,1,0.885714285714286,0.128571428571429
"50","Pcynig",10.7736363636364,7.41007575757575,0.643939393939394,0.100262679072251,4,0.74025974025974,0.402597402597403
"51","Petpol",4.16909090909091,33.4825,0.742424242424242,0.0732866415765107,2,0.753246753246753,0.558441558441558
"52","Telluf",4.76142857142857,13.570119047619,0.773809523809524,0.0817435131470255,7,0.693877551020408,0.612244897959184
"53","TelteS",18.5041666666667,10.2976388888889,0.548611111111111,-0.227965887501584,1,0.30952380952381,0.607142857142857
"54","Telvit",12.675,1.67270833333333,0.135416666666667,-0.222749056631073,10,0.107142857142857,0.142857142857143
"55","Trioto",7.70875,15.754375,0.760416666666667,-0.0199295930949572,2,0.607142857142857,0.714285714285714
"56","Tromoo",4.37,31.107380952381,0.797619047619048,0.21836551144646,7,0.775510204081633,0.653061224489796
"57","Tronig",4.495,19.0705555555556,0.881944444444445,0.377521612267773,7,0.833333333333333,0.738095238095238
"58","Tylpol",3.1175,17.5758333333333,0.895833333333333,-0.151141145188312,2,0.928571428571429,0.678571428571429
"59","Varmoo",8.01571428571429,4.19964285714286,0.285714285714286,-0.0210952410410083,3,0.204081632653061,0.285714285714286
"60","Xenbat",13.85375,1.11425,0.0875,-0.152735676229809,1,0.0357142857142857,0.107142857142857
"61","Xenspi",7.255,4.88097222222222,0.333333333333333,-0.0758171499497094,1,0.238095238095238,0.30952380952381
