"","six_letter_name_Ronco","total_rest","peak_amplitude","peak","day_night_dif","cluster","day_night_dif_spd"
"0","Altcal",14.1525,12.8273708092776,0.479166666666667,-0.0968807719651501,1,-4.92666666666667
"1","Altcom",11.5366666666667,13.5955928465782,0.722222222222222,0.196658493458909,2,-2.85666666666667
"2","Altshe",17.5828571428571,8.00437785078428,0.345238095238095,0.0914963303229706,7,2.64142857142857
"3","Astbur",4.94454545454545,-5.37847931217121,0.643939393939394,0.429452219525226,6,47.5572727272727
"4","Auldew",2.90416666666667,11.3570116290415,0.569444444444444,0.0623846018803175,1,-5.29916666666667
"5","Boumic",4.72,10.1707353903578,0.80952380952381,0.382972842093313,6,15.9414285714286
"6","Calple",7.16333333333334,6.50603869278427,0.604166666666667,0.270486093899848,6,5.37083333333333
"7","Chacya",3.39,18.8399522314467,0.833333333333333,-0.16012207516105,1,-9.57
"8","Cphfro",3.37636363636364,15.014468405712,0.712121212121213,0.12452903251695,1,-14.7509090909091
"9","Ctehor",3.39125,11.1869836136113,0.697916666666667,0.0836051525329768,6,9.20375
"10","Cypcol",11.2163636363636,4.19124924892303,0.431818181818182,0.426427342979142,6,2.61090909090909
"11","Cyplep",10.8608333333333,3.66520837118526,0.368055555555556,0.148457683848852,6,1.95
"12","Enamel",11.0272727272727,14.4625859479075,0.553030303030303,0.115069278704096,11,-0.643636363636364
"13","Erecya",11.94,17.7582506337889,0.847222222222222,0.400012510155594,6,15.54
"14","Gnapfe",11.6414285714286,27.9088013318817,0.547619047619048,-0.0873534614675303,1,-9.53
"15","Hapred",5.13666666666667,19.799453709233,0.826388888888889,0.270525633973985,6,32.3058333333333
"16","Juldic",9.76090909090909,13.7329911352715,0.78030303030303,0.271125681936376,5,0.85
"17","Julmrk",12.5866666666667,8.30906802895311,0.62962962962963,0.0971836407266339,5,-0.507500000000001
"18","Julorn",13.1436363636364,3.46725412121657,0.53030303030303,0.296654592105753,6,2.99181818181818
"19","Lamoce",12.7411111111111,13.5714933814399,0.675925925925926,-0.133204377985477,1,-7.67222222222222
"20","Lamsig",15.1246153846154,-2.70811462598286,0.237179487179487,0.710833954177594,6,6.36769230769231
