cdkn1b	CLINGEN:C1333990~Hereditary Nonpolyposis Colorectal Cancer
cdkn1b	CLINGEN:C1333991~Hereditary Non-Polyposis Colon Cancer Type 2
cdkn1b	CLINGEN:C1970712~Multiple Endocrine Neoplasia, Type IV
cdkn1b	CLINGEN:C2936783~Colorectal cancer, hereditary nonpolyposis, type 1
cdkn1b	CLINGEN:C4274947~Multiple endocrine neoplasia type 4
cebpa	CLINGEN:C0023467~Leukemia, Myelocytic, Acute
LOC100699342	CLINGEN:C1853154~Nemaline Myopathy 7
chek1	CLINGEN:C0346153~Breast Cancer, Familial
clcn4	CLINGEN:C3501611~Mental Retardation, X-Linked Nonsyndromic
col4a5	CLINGEN:C1567741~Alport Syndrome
col4a6	CLINGEN:C3806737~DEAFNESS, X-LINKED 6
LOC100708902	CLINGEN:C0265253~Stickler syndrome (disorder)
col9a3	CLINGEN:C0265253~Stickler syndrome (disorder)
LOC100704203	CLINGEN:C1848488~Pierre Robin syndrome with fetal chondrodysplasia
LOC100704203	CLINGEN:C3711374~Nonsyndromic Deafness
LOC100704203	CLINGEN:C4520892~Otospondylomegaepiphyseal dysplasia
LOC100695060	CLINGEN:C0023264~Leigh Disease
LOC100695060	CLINGEN:C1838951~LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY
LOC100695060	CLINGEN:C1850597~Leigh Syndrome Due To Mitochondrial Complex II Deficiency
LOC100695060	CLINGEN:C1850598~Leigh Syndrome due to Mitochondrial Complex III Deficiency
LOC100695060	CLINGEN:C1850599~Leigh Syndrome due to Mitochondrial Complex IV Deficiency
LOC100695060	CLINGEN:C1850600~Leigh Syndrome due to Mitochondrial Complex V Deficiency
LOC100695060	CLINGEN:C2931891~Necrotizing encephalopathy, infantile subacute, of Leigh
LOC100705832	CLINGEN:C0023264~Leigh Disease
LOC100705832	CLINGEN:C1838951~LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY
LOC100705832	CLINGEN:C1850597~Leigh Syndrome Due To Mitochondrial Complex II Deficiency
LOC100705832	CLINGEN:C1850598~Leigh Syndrome due to Mitochondrial Complex III Deficiency
LOC100705832	CLINGEN:C1850599~Leigh Syndrome due to Mitochondrial Complex IV Deficiency
LOC100705832	CLINGEN:C1850600~Leigh Syndrome due to Mitochondrial Complex V Deficiency
LOC100705832	CLINGEN:C2931891~Necrotizing encephalopathy, infantile subacute, of Leigh
cps1	CLINGEN:C0751753~Carbamoyl-Phosphate Synthase I Deficiency Disease
LOC100693325	CLINGEN:C1829703~Carnitine palmitoyl transferase 1A deficiency
cpt2	CLINGEN:C0342790~Carnitine palmitoyl transferase 2 deficiency
LOC100709989	CLINGEN:C0035934~Rubinstein-Taybi Syndrome
LOC100709989	CLINGEN:C4551859~RUBINSTEIN-TAYBI SYNDROME 1
crym	CLINGEN:C4084708~DEAFNESS, AUTOSOMAL DOMINANT 40
cth	CLINGEN:C0268616~Gamma-cystathionase deficiency
cth	CLINGEN:C3495552~Cystathionase Deficiency
ctnna1	CLINGEN:C1112155~Hereditary non-polyposis colorectal cancer syndrome
ctnna1	CLINGEN:C1333990~Hereditary Nonpolyposis Colorectal Cancer
ctnna1	CLINGEN:C1333991~Hereditary Non-Polyposis Colon Cancer Type 2
ctnna1	CLINGEN:C2936783~Colorectal cancer, hereditary nonpolyposis, type 1
cyld	CLINGEN:C1857941~Brooke-Spiegler syndrome
dbt	CLINGEN:C0024776~Maple Syrup Urine Disease
ddb2	CLINGEN:C1848411~XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP E
timm8a	CLINGEN:C0796074~MOHR-TRANEBJAERG SYNDROME
gsdme	CLINGEN:C0452138~Sensorineural hearing loss, bilateral
gsdme	CLINGEN:C1852282~DEAFNESS, AUTOSOMAL DOMINANT 1 (disorder)
coch	CLINGEN:C3711374~Nonsyndromic Deafness
dhcr7	CLINGEN:C0175694~Smith-Lemli-Opitz Syndrome
dld	CLINGEN:C0268193~NADH cytochrome B5 reductase deficiency
dlg3	CLINGEN:C3501611~Mental Retardation, X-Linked Nonsyndromic
dnm1	CLINGEN:C0393706~Early infantile epileptic encephalopathy with suppression bursts
dnm1	CLINGEN:C3463992~EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 1
dnm1	CLINGEN:C4552072~X-linked infantile spasms
dnm2	CLINGEN:C1834558~Myopathy, Centronuclear, Autosomal Dominant
dnmt1	CLINGEN:C3807295~CEREBELLAR ATAXIA, DEAFNESS, AND NARCOLEPSY, AUTOSOMAL DOMINANT
LOC100703660	CLINGEN:C0007194~Hypertrophic Cardiomyopathy
echs1	CLINGEN:C4225391~MITOCHONDRIAL SHORT-CHAIN ENOYL-CoA HYDRATASE 1 DEFICIENCY
LOC102082978	CLINGEN:C2750457~Waardenburg Syndrome, Type 4b
LOC100712046	CLINGEN:C1848519~WAARDENBURG SYNDROME, TYPE 4A
epas1	CLINGEN:C1708353~Hereditary Paraganglioma-Pheochromocytoma Syndrome
LOC100711364	CLINGEN:C1112155~Hereditary non-polyposis colorectal cancer syndrome
LOC100711364	CLINGEN:C1333990~Hereditary Nonpolyposis Colorectal Cancer
LOC100711364	CLINGEN:C1333991~Hereditary Non-Polyposis Colon Cancer Type 2
LOC100711364	CLINGEN:C2936783~Colorectal cancer, hereditary nonpolyposis, type 1
LOC100699396	CLINGEN:C1846647~DEAFNESS, AUTOSOMAL RECESSIVE (disorder)
ercc2	CLINGEN:C0268138~Xeroderma Pigmentosum, Complementation Group D
eya4	CLINGEN:C3711374~Nonsyndromic Deafness
ercc3	CLINGEN:C0268136~Xeroderma pigmentosum, group B
ercc4	CLINGEN:C0268140~Xeroderma pigmentosum, group F
ercc5	CLINGEN:C0268141~Xeroderma pigmentosum, group G
etfa	CLINGEN:C0268596~Multiple Acyl Coenzyme A Dehydrogenase Deficiency
etfb	CLINGEN:C0268596~Multiple Acyl Coenzyme A Dehydrogenase Deficiency
etfdh	CLINGEN:C0268596~Multiple Acyl Coenzyme A Dehydrogenase Deficiency
LOC100705583	CLINGEN:C0015306~Hereditary Multiple Exostoses
ext2	CLINGEN:C1851413~EXOSTOSES, MULTIPLE, TYPE II
eya1	CLINGEN:C0265234~Branchio-Oto-Renal Syndrome
f5	CLINGEN:C1861171~THROMBOPHILIA DUE TO ACTIVATED PROTEIN C RESISTANCE (disorder)
LOC100703931	CLINGEN:C0015503~Factor VII Deficiency
LOC100710669	CLINGEN:C0008533~Hemophilia B
fancc	CLINGEN:C3468041~FANCONI ANEMIA, COMPLEMENTATION GROUP C
acsl4	CLINGEN:C3501611~Mental Retardation, X-Linked Nonsyndromic
fah	CLINGEN:C0268490~Tyrosinemia, Type I
fancg	CLINGEN:C3469527~fanconi anemia complementation group g
fbn1	CLINGEN:C0024796~Marfan Syndrome
fbn1	CLINGEN:C4707243~Familial thoracic aortic aneurysm and aortic dissection
fgd1	CLINGEN:C0175701~Aarskog syndrome
fgf3	CLINGEN:C1853144~Deafness, Congenital, with Inner Ear Agenesis, Microtia, and Microdontia
fgfr3	CLINGEN:C0001080~Achondroplasia
fh	CLINGEN:C1708353~Hereditary Paraganglioma-Pheochromocytoma Syndrome
LOC100708053	CLINGEN:C4707243~Familial thoracic aortic aneurysm and aortic dissection
